,corr,n,abs_corr
prm__lr,0.2269024330745199,3286,0.2269024330745199
prm__attention_dropout,-0.16401747786227314,176,0.16401747786227314
prm__patch_size,-0.15410061653358811,87,0.15410061653358811
prm__dropout_aux,0.11089542036910457,76,0.11089542036910457
prm__norm_eps,-0.05821497364555886,77,0.05821497364555886
prm__weight_decay,0.05672122760251403,193,0.05672122760251403
prm__batch,-0.0553000223138733,3286,0.0553000223138733
prm__momentum,0.040320428188260024,3280,0.040320428188260024
prm__lr_schedule,-0.01718577690535202,109,0.01718577690535202
prm__stochastic_depth_prob,0.012614584667754603,132,0.012614584667754603
prm__dropout,-0.0004537941557972467,1668,0.0004537941557972467
